Year,Prefecture,Total,Young,Adult,Aging,
1970,北海道,5184,1309,3576,299,
1970,青森県,1428,397,940,90,
1970,岩手県,1371,362,909,100,
1970,宮城県,1819,449,1245,126,
1970,秋田県,1241,303,848,91,
1970,山形県,1226,288,833,105,
1970,福島県,1946,508,1283,155,
1970,茨城県,2144,534,1440,169,
1970,栃木県,1580,389,1070,121,
1970,群馬県,1659,397,1131,131,
1970,埼玉県,3866,1003,2665,199,
1970,千葉県,3367,846,2310,211,
1970,東京都,11408,2401,8417,591,
1970,神奈川県,5472,1302,3915,256,
1970,新潟県,2361,573,1597,190,
1970,富山県,1030,230,717,83,
1970,石川県,1002,235,685,82,
1970,福井県,744,178,499,67,
1970,山梨県,762,188,505,68,
1970,長野県,1957,450,1324,184,
1970,岐阜県,1759,427,1194,138,
1970,静岡県,3090,765,2106,218,
1970,愛知県,5386,1310,3769,308,
1970,三重県,1543,360,1044,138,
1970,滋賀県,890,205,605,79,
1970,京都府,2250,484,1588,178,
1970,大阪府,7620,1821,5406,394,
1970,兵庫県,4668,1097,3247,324,
1970,奈良県,930,213,643,74,
1970,和歌山県,1043,243,703,96,
1970,鳥取県,569,132,380,57,
1970,島根県,774,178,508,87,
1970,岡山県,1707,385,1156,166,
1970,広島県,2436,559,1677,201,
1970,山口県,1511,348,1026,137,
1970,徳島県,791,184,531,76,
1970,香川県,908,201,620,87,
1970,愛媛県,1418,343,942,133,
1970,高知県,787,172,525,90,
1970,福岡県,4027,943,2792,293,
1970,佐賀県,838,215,546,78,
1970,長崎県,1570,439,1002,129,
1970,熊本県,1700,430,1111,160,
1970,大分県,1156,280,766,110,
1970,宮崎県,1051,278,684,89,
1970,鹿児島県,1729,469,1086,174,
1970,沖縄県,0,0,0,0,
1971,北海道,5188,1302,3577,309,
1971,青森県,1428,396,939,93,
1971,岩手県,1364,356,905,103,
1971,宮城県,1837,449,1260,129,
1971,秋田県,1232,296,843,93,
1971,山形県,1218,281,830,107,
1971,福島県,1941,501,1283,157,
1971,茨城県,2180,540,1467,173,
1971,栃木県,1604,394,1087,124,
1971,群馬県,1676,402,1140,134,
1971,埼玉県,4063,1068,2788,206,
1971,千葉県,3520,896,2406,218,
1971,東京都,11472,2415,8451,607,
1971,神奈川県,5694,1369,4058,267,
1971,新潟県,2356,567,1593,195,
1971,富山県,1036,232,718,86,
1971,石川県,1011,239,688,84,
1971,福井県,747,178,501,68,
1971,山梨県,764,187,507,70,
1971,長野県,1966,453,1326,188,
1971,岐阜県,1778,434,1203,141,
1971,静岡県,3139,778,2136,224,
1971,愛知県,5520,1357,3846,317,
1971,三重県,1557,365,1050,141,
1971,滋賀県,908,211,616,81,
1971,京都府,2276,495,1598,183,
1971,大阪府,7789,1884,5496,409,
1971,兵庫県,4735,1121,3280,333,
1971,奈良県,959,221,661,77,
1971,和歌山県,1047,246,703,98,
1971,鳥取県,568,130,381,57,
1971,島根県,767,174,505,88,
1971,岡山県,1731,391,1169,170,
1971,広島県,2478,572,1701,205,
1971,山口県,1513,348,1025,140,
1971,徳島県,789,180,532,77,
1971,香川県,915,202,625,89,
1971,愛媛県,1420,344,940,136,
1971,高知県,785,172,522,91,
1971,福岡県,4052,948,2802,302,
1971,佐賀県,831,212,539,80,
1971,長崎県,1559,429,999,131,
1971,熊本県,1685,422,1098,165,
1971,大分県,1161,280,769,112,
1971,宮崎県,1046,275,680,91,
1971,鹿児島県,1708,456,1075,178,
1971,沖縄県,0,0,0,0,
1972,北海道,5205,1302,3580,323,
1972,青森県,1432,396,939,97,
1972,岩手県,1361,353,902,106,
1972,宮城県,1856,451,1273,133,
1972,秋田県,1228,290,841,97,
1972,山形県,1214,276,826,111,
1972,福島県,1941,497,1282,162,
1972,茨城県,2208,546,1484,178,
1972,栃木県,1625,401,1097,127,
1972,群馬県,1696,411,1146,138,
1972,埼玉県,4268,1141,2910,217,
1972,千葉県,3670,950,2494,228,
1972,東京都,11531,2433,8465,632,
1972,神奈川県,5896,1439,4175,282,
1972,新潟県,2355,564,1587,204,
1972,富山県,1044,236,718,90,
